Ac_no  ,client, Open_date , First_name, middle_name, Last_name, ssn      , Addl_1      , Addl_2   , City        , State, Zipcode, record_type, match_code, match_score, consumer_id, consumer_type, notification_no, notice_type, case_no , chapter, original chapter, date_filed, conversion_date, status, Status_date, PD_ssn   , PD_First_Name, PD_middle_Name, PD_lastt_Name, PD_suffix, PD_AKA, PD_AKA2, PD_DBA, PD_DBA2, PD_Addl_1      , PD_Addl_2, PD_City        , PD_State, PD_Zipcode, PD_phone, SD_ssn, SD_First_Name, SD_middle_Name, SD_lastt_Name, SD_suffix, SD_AKA, SD_AKA2, SD_DBA, SD_DBA2, SD_Addl_1, SD_Addl_2, SD_City, SD_State, SD_Zipcode, SD_phone, Judge_name        , prose_indicator, Attorny_ssn, Attorny_First_Name, Attorny_middle_Name, Attorny_lastt_Name, Attorny_suffix, Attorny_AKA, Attorny_AKA2, Attorny_DBA, Attorny_DBA2, Attorny_Addl_1, Attorny_Addl_2, Attorny_City, Attorny_State, Attorny_Zipcode, Attorny_phone,creditor_meeting_date,creditor_meeting_time,creditor_Addl_1,creditor_Addl_2,creditor_City     ,creditor_State,creditor_Zipcode,creditor_phone, trustee_name, Trustee_Addl_1 , Trustee_Addl_2, Trustee_City, Trustee_State, Trustee_Zipcode, Trustee_phone, Court_id, court_district  , Court_Addl_1, Court_Addl_2, Court_City, Court_State, Court_Zipcode, Court_phone, confirmation_date, Asset_indicator, Before_open, SASF    , Active_Status, Disposition_text, POC_bar_date, 
1000001,DM, 2015-04-12, Michael   , J          , Smith    ,492671845, 9384 Main St, Suite 200, Chicago     , IL   ,38472, New        , M1        ,95, CID-482910 , Corporate    , NOTIF-1001     , Bankruptcy , 23-58291,13,7, 2022-08-15,                , Active, 2022-08-15 ,938471029, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,582910384, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2022-09-14, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2022-09-14, 
1000002,FD, 2012-11-30, Robert    , M          , Brown    ,592830174, 2847 Main St,          , Houston     , TX   ,75829, New        , M1        ,88, CID-192837 , Individual   , NOTIF-1002     , Bankruptcy , 22-10293,7,13, 2021-05-20,                , Active, 2021-05-20 ,102938475, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,293847561, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2021-06-19, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2021-06-19, 
1000003,GECOM, 2018-02-14, Patricia  , A          , Davis    ,601928374, 1029 Main St, Apt 1    , New York    , NY   ,10001, New        , M1        ,92, CID-573829 , SME          , NOTIF-1003     , Bankruptcy , 23-48291,11,7, 2023-01-10,                , Active, 2023-01-10 ,482910573, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,192837465, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2023-02-09, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2023-02-09, 
1000004,VP, 2010-06-25, John      , K          , Miller   ,394857261, 5738 Main St,          , Phoenix     , AZ   ,85001, New        , M1        ,85, CID-839201 , Individual   , NOTIF-1004     , Bankruptcy , 22-57382,13,11, 2021-09-05,                , Active, 2021-09-05 ,573829104, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,384756291, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2021-10-05, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2021-10-05, 
1000005,DM, 2019-09-18, Jane      , L          , Garcia   ,293847561, 4829 Main St, Suite 200, Los Angeles , CA   ,90001, New        , M1        ,99, CID-203948 , Corporate    , NOTIF-1005     , Bankruptcy , 23-19283,7,7, 2022-03-15,                , Active, 2022-03-15 ,203948576, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,475869203, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2022-04-14, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2022-04-14, 
1000006,FD, 2014-01-05, Mary      , E          , Johnson  ,102938475, 2938 Main St,          , Chicago     , IL   ,60601, New        , M1        ,91, CID-657483 , SME          , NOTIF-1006     , Bankruptcy , 22-38475,11,13, 2021-12-20,                , Active, 2021-12-20 ,384756192, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839201, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2022-01-19, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2022-01-19, 
1000007,GECOM, 2016-08-22, Robert    , P          , Smith    ,583920174, 1928 Main St, Apt 1    , Houston     , TX   ,77002, New        , M1        ,87, CID-102938 , Individual   , NOTIF-1007     , Bankruptcy , 23-57483,13,7, 2022-07-01,                , Active, 2022-07-01 ,574839201, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,293847102, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2022-07-31, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2022-07-31, 
1000008,VP, 2011-03-10, Michael   , R          , Davis    ,475869203, 3847 Main St,          , New York    , NY   ,10010, New        , M1        ,94, CID-485920 , Corporate    , NOTIF-1008     , Bankruptcy , 22-19283,7,11, 2021-11-15,                , Active, 2021-11-15 ,192837465, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,384756291, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2021-12-15, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2021-12-15, 
1000009,DM, 2017-12-05, Patricia  , S          , Brown    ,203948576, 4758 Main St, Suite 200, Phoenix     , AZ   ,85002, New        , M1        ,96, CID-293847 , SME          , NOTIF-1009     , Bankruptcy , 23-38475,11,13, 2022-10-25,                , Active, 2022-10-25 ,384756291, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,574839102, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2022-11-24, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2022-11-24, 
1000010,FD, 2013-05-28, John      , T          , Garcia   ,384756192, 5748 Main St,          , Los Angeles , CA   ,90002, New        , M1        ,89, CID-584739 , Individual   , NOTIF-1010     , Bankruptcy , 22-57483,13,7, 2021-08-08,                , Active, 2021-08-08 ,574839102, Primary      , D             , Debtor       ,          ,       ,        ,       ,        , 123 Debtor Lane,          , Bankruptcy City, TX      ,77001, 555-0100,       ,              ,               ,              ,          ,       ,        ,       ,        ,          ,          ,        ,         ,           ,         , Hon. Sarah Justice, N              ,102938475, Counselor         , L                  , Lawyer            , Esq           ,            ,             ,            ,             , 456 Law Plaza , Ste 10        , Legal Center, DC           ,20001, 555-9000     ,2021-09-07, 10:00 AM, Federal Building, Rm 302    , District City, TX       ,77002, 555-4444 , Trustee Tom , 789 Trustee Way,               , Admin Town  , TX           ,77003, 555-8888     , TXEB    , Eastern District, 200 Court St,             , Marshall  , TX         ,75670, 555-7777   ,                  , N              , N          , Standard, Open         , Case in Progress,2021-09-07, 
